node_id_start,node_id_end,segment_length
5185,5142,71.6828602985333
5342,5380,164.103819429859
5380,5385,186.000936283625
5417,5402,98.7025964295445
5480,5572,277.020708857828
5519,5520,292.275131312611
5522,9583,153.845634823383
5621,21549,92.9035794633554
5622,5621,72.364512490988
5683,5921,175.127600078197
5695,5860,92.4719843315827
5806,4090,114.127045988709
5808,5682,262.146341977331
5830,6170,70.0101923921337
5860,4114,137.39731751432
5893,4069,115.366235574902
5912,5913,160.208085177974
5913,5914,113.879868857934
5938,5946,114.786790902939
5990,5991,135.305761797908
5998,5999,202.741775132848
5999,6000,138.205484092155
6000,6001,205.02546638625
6001,6002,203.490390022384
6020,6021,205.176906069891
6021,6154,133.902717115133
6053,6208,229.562732732586
6053,6498,95.5582477390357
6081,5676,27.8586697680222
6106,6391,111.72426156725
6114,6030,134.809671039386
6120,6195,145.823705624736
6129,6130,202.545242144051
6130,6131,38.7468555174555
6131,3857,193.691772928902
6131,3964,115.631036631137
6150,6193,134.767163760267
6151,6152,124.32955168699
6154,6155,105.43520748026
6165,6130,206.256319737193
6165,6226,23.5386721061188
6170,22997,111.474447678343
6178,6186,162.197505909089
6178,6314,64.6670180646544
6183,6114,95.0881157092026
6184,24483,96.8402236280517
6185,6421,50.8930120681372
6188,6306,71.5347731962662
6191,6317,69.326673462717
6200,3436,211.095525551235
6202,6262,220.910252223095
6208,3371,400.293741572342
6208,6607,100.227931318594
6236,6237,125.194031674838
6237,6020,119.176790606584
6244,6353,201.717372229629
6254,6255,104.606512810935
6258,6292,123.442153705883
6267,6268,76.1274524888361
6268,3371,195.044760808449
6275,6157,136.474400478092
6283,6284,133.361063707264
6283,6290,123.858654929034
6284,6310,108.730854746121
6284,6368,101.137615117782
6290,6101,111.846850002754
6290,6368,118.713230196203
6292,6021,119.070884791204
6310,6311,83.8351811353353
6311,6106,105.511734894012
6312,6155,134.703763433329
6315,6306,62.6519084721492
6324,6097,118.669976103178
6325,6150,142.93054907566
6353,6129,205.781420508722
6421,6583,289.725223001278
6425,5996,59.2709918745883
6469,6588,151.767856596791
6507,6541,90.0878477036116
6517,3251,219.838344709419
6519,6480,151.44561153448
6519,6520,132.115894963802
6520,6481,148.196966479854
6532,3255,116.751822983423
6553,3274,202.830880664637
6553,6517,72.4524930521993
6564,6507,73.6621739002341
6567,6510,73.5248897214493
6567,6568,130.710197930859
6570,6512,73.0902691447852
6572,6515,71.6966544210596
6588,6622,180.213836491007
6594,6447,88.8076608693758
6597,6520,134.186480504031
6616,6617,113.231517007339
6622,6519,134.024185703106
6669,2975,301.930046309149
6673,6674,311.364436483919
6673,6726,72.9116445730361
6674,2974,140.477642632499
6679,2982,355.394736149433
6689,3005,292.360482383288
6704,6735,269.004872982715
6706,3185,282.907290935342
6734,6735,158.186140983593
6751,6816,173.987787532395
6762,6763,86.0588976184359
6762,6824,164.802891274517
6763,6825,164.549792756403
6770,6771,97.2034194321472
6824,6825,85.9147275620395
6824,6869,177.245529811892
6825,6870,176.452495424646
6857,25347,235.369056710307
