geometry,node.id,deg_unweighted,betweenes_unweighted,closeness_unweighted,eigcentrality_unweighted,eccentricity_unweighted,harmonic_unweighted,deg_weighted,betweenes,closeness,eigcentrality,eccentricity,harmonic
"c(296113.611783071, 5046427.52077367)",1803,4,8143365.447370152,5.295286347904549e-7,0.06005249339553387,146,710.925301777224,422.49889894591,1731248,2.5064034591504914e-9,0,34971.56552294155,4.205994527030309
"c(297125.889610868, 5046555.38271746)",1813,4,170003.9199885898,4.884765929343815e-7,3.572393375597457e-4,154,639.1055972444889,435.6561153093212,9561362,2.4611806738182122e-9,0,36226.346177029445,4.282488288054857
"c(297031.023629424, 5046615.66671009)",1845,4,194187.62152257623,4.922975131098827e-7,2.602060387691691e-4,153,641.1072239261758,281.4975662730212,14557099,2.4602773938313917e-9,0,36144.84585370923,4.264983453081521
"c(296715.244635968, 5045165.0499744)",1881,4,284725.11880653864,4.798261877617452e-7,0.2844502221888162,155,627.7499385490481,808.6607653343643,2780870,2.540191517949205e-9,0,35021.71735133201,4.0753785561537
"c(296880.198615834, 5045423.25992371)",1885,4,96913.65189414668,4.919749053440282e-7,0.14772457474825254,153,641.8526811246486,576.6651845595276,2251122,2.5207845125945373e-9,0,35328.20189307648,4.101950750169747
"c(296950.639607499, 5045541.28190071)",1887,4,96009.61228853166,4.92539989321733e-7,0.08759981717898237,153,643.7005767556537,552.6776073708462,4455075,2.5102193932236945e-9,0,35465.64692345635,4.109156786953732
"c(296052.65873715, 5044734.78707183)",1916,4,7655360.710581116,4.954569078831653e-7,0.06594548261914122,152,656.1030344622346,846.0808075449781,17572184,2.598880023060244e-9,0,34102.23637918327,4.142991671356673
"c(295785.896789324, 5044903.91905114)",1917,4,8931560.58585612,4.995648789903993e-7,0.04680532710821911,151,660.7537507080425,897.4284685323449,2149728,2.5668521101710438e-9,0,34402.5335708213,4.0883343368289395
"c(296169.417742769, 5045512.55793185)",1938,4,209309.32505070197,4.871511449756936e-7,0.3258813514506252,153,635.6491543352978,739.8695401407217,1551870,2.528078595287431e-9,0,35035.13188869693,4.063830421544775
"c(296416.986706405, 5045716.22688795)",1939,3,33213.4073812673,4.998732821229818e-7,0.10302599116802214,151,648.9517139000698,389.4882488619549,669318,2.5140603459970518e-9,0,35346.21847021477,4.06646245175849
"c(296313.594705267, 5045142.64199175)",1944,4,80830.66827255144,4.867423551028851e-7,0.16258510088999836,152,633.1936903630173,674.3713641086019,15699164,2.564506242954496e-9,0,34586.45040504271,4.0856670654428395
"c(295508.249117017, 5045930.57538081)",1950,5,166726.81339752433,5.044395726791492e-7,0.2487858805210778,149,660.8352888323651,673.2215430823585,2728433,2.5507517003493736e-9,0,34252.90121879776,4.204315807549545
"c(295671.080852226, 5046188.10983033)",1951,6,7233225.539750525,5.304727413929471e-7,1,145,709.5634570332959,725.7466706073966,2198008,2.5349970091292127e-9,0,34484.537539574616,4.214613722679685
"c(296153.572724833, 5044892.97204078)",1953,4,209243.34601375274,4.951725626863705e-7,0.09705849234351925,151,649.0195143203216,674.774561771259,15679648,2.584779852793663e-9,0,34289.87852521671,4.106989384819009
"c(296255.250712484, 5045054.13000919)",1954,4,172154.98392405373,4.929512895112782e-7,0.12503572037087463,151,643.2067276894629,693.7739663708498,15684559,2.5713054748805622e-9,0,34480.43259018064,4.089314925262485
"c(296440.908689691, 5045340.98695279)",1956,4,249161.1399368961,4.83450989189069e-7,0.31151053371035875,154,632.2040685863477,806.1147921182668,16739968,2.5554813413625114e-9,0,34822.14444523518,4.101551969897471
